OrderID,OrderLineID,OrderDate,CustomerID,CustomerName,Gender,DOB,Email,Phone,City,State,Country,ProductID,ProductName,Category,SubCategory,Brand,Quantity,UnitPrice,DiscountAmount,SalesChannel,PaymentMode,OrderStatus,OrderCreatedTimestamp
O6000,1,2025-10-13,C101,Aarohi Sharma,F,,aarohi.sharma@gmail.com,,Mumbai,MH,India,P001,Vitamin C Face Serum,Beauty,Skincare,GlowUp,3,899,,Store,Cash,Cancelled,2025-10-13
O6001,1,2025-10-06,C104,Priya Iyer,F,,priya.iyer@gmail.com,,Chennai,TN,India,P005,Baby Lotion,Baby Care,Skincare,BabySoft,2,349,0.0,Online,Cash,Completed,2025-10-06
O6002,1,2025-11-21,C106,Kavya Nair,F,,kavya.nair@gmail.com,,Kochi,KL,India,P002,Matte Lipstick,Beauty,Makeup,GlamHer,2,699,0.0,Online,Cash,Completed,2025-11-21
O6003,1,2025-11-02,C104,Priya Iyer,F,,priya.iyer@gmail.com,,Chennai,TN,India,P004,Bluetooth Headphones,Electronics,Audio,SoundMax,4,2499,50.0,Store,Cash,Cancelled,2025-11-02
O6004,1,2025-09-07,C102,Neha Kapoor,F,,neha.k@gmail.com,,Delhi,DL,India,P001,Vitamin C Face Serum,Beauty,Skincare,GlowUp,3,899,0.0,Online,Cash,Cancelled,2025-09-07
O6005,1,2025-08-29,C103,Rahul Mehta,M,,rahul.mehta@gmail.com,,Ahmedabad,GJ,India,P003,Beard Trimmer,Personal Care,Grooming,TrimX,1,1599,50.0,Online,UPI,Completed,2025-08-29
O6006,1,2025-09-10,C106,Kavya Nair,F,,kavya.nair@gmail.com,,Kochi,KL,India,P003,Beard Trimmer,Personal Care,Grooming,TrimX,2,1599,,Store,Cash,Completed,2025-09-10
O6007,1,2025-10-19,C106,Kavya Nair,F,,kavya.nair@gmail.com,,Kochi,KL,India,P004,Bluetooth Headphones,Electronics,Audio,SoundMax,4,2499,0.0,Store,Card,Completed,2025-10-19
O6008,1,2025-11-27,C102,Neha Kapoor,F,,neha.k@gmail.com,,Delhi,DL,India,P002,Matte Lipstick,Beauty,Makeup,GlamHer,2,699,,Store,Cash,Completed,2025-11-27
O6009,1,2025-08-17,C102,Neha Kapoor,F,,neha.k@gmail.com,,Delhi,DL,India,P005,Baby Lotion,Baby Care,Skincare,BabySoft,1,349,50.0,Online,Cash,Completed,2025-08-17
O6010,1,2025-12-20,C104,Priya Iyer,F,,priya.iyer@gmail.com,,Chennai,TN,India,P002,Matte Lipstick,Beauty,Makeup,GlamHer,1,699,0.0,Online,Cash,Completed,2025-12-20
O6011,1,2025-11-25,C104,Priya Iyer,F,,priya.iyer@gmail.com,,Chennai,TN,India,P002,Matte Lipstick,Beauty,Makeup,GlamHer,4,699,50.0,Store,UPI,Cancelled,2025-11-25
O6012,1,2025-11-21,C103,Rahul Mehta,M,,rahul.mehta@gmail.com,,Ahmedabad,GJ,India,P004,Bluetooth Headphones,Electronics,Audio,SoundMax,3,2499,100.0,Store,Cash,Completed,2025-11-21
O6013,1,2025-09-04,C101,Aarohi Sharma,F,,aarohi.sharma@gmail.com,,Mumbai,MH,India,P003,Beard Trimmer,Personal Care,Grooming,TrimX,2,1599,100.0,Online,Cash,Completed,2025-09-04
O6014,1,2025-08-04,C105,Suresh Kumar,M,,suresh.k@gmail.com,,Coimbatore,TN,India,P004,Bluetooth Headphones,Electronics,Audio,SoundMax,3,2499,0.0,Store,Cash,Completed,2025-08-04
O6015,1,2025-12-21,C104,Priya Iyer,F,,priya.iyer@gmail.com,,Chennai,TN,India,P002,Matte Lipstick,Beauty,Makeup,GlamHer,2,699,,Store,UPI,Cancelled,2025-12-21
O6016,1,2025-09-15,C104,Priya Iyer,F,,priya.iyer@gmail.com,,Chennai,TN,India,P001,Vitamin C Face Serum,Beauty,Skincare,GlowUp,2,899,,Store,Card,Completed,2025-09-15
O6017,1,2025-10-08,C106,Kavya Nair,F,,kavya.nair@gmail.com,,Kochi,KL,India,P002,Matte Lipstick,Beauty,Makeup,GlamHer,1,699,0.0,Store,Card,Completed,2025-10-08
O6018,1,2025-11-19,C103,Rahul Mehta,M,,rahul.mehta@gmail.com,,Ahmedabad,GJ,India,P002,Matte Lipstick,Beauty,Makeup,GlamHer,1,699,0.0,Online,Cash,Completed,2025-11-19
O6019,1,2025-12-26,C105,Suresh Kumar,M,,suresh.k@gmail.com,,Coimbatore,TN,India,P004,Bluetooth Headphones,Electronics,Audio,SoundMax,4,2499,,Online,Cash,Completed,2025-12-26
O6020,1,2025-11-21,C104,Priya Iyer,F,,priya.iyer@gmail.com,,Chennai,TN,India,P001,Vitamin C Face Serum,Beauty,Skincare,GlowUp,3,899,,Store,Card,Completed,2025-11-21
O6021,1,2025-11-02,C105,Suresh Kumar,M,,suresh.k@gmail.com,,Coimbatore,TN,India,P002,Matte Lipstick,Beauty,Makeup,GlamHer,3,699,,Store,Card,Completed,2025-11-02
O6022,1,2025-09-15,C103,Rahul Mehta,M,,rahul.mehta@gmail.com,,Ahmedabad,GJ,India,P005,Baby Lotion,Baby Care,Skincare,BabySoft,4,349,0.0,Online,Cash,Completed,2025-09-15
O6023,1,2025-09-29,C102,Neha Kapoor,F,,neha.k@gmail.com,,Delhi,DL,India,P004,Bluetooth Headphones,Electronics,Audio,SoundMax,1,2499,100.0,Store,Card,Cancelled,2025-09-29
O6024,1,2025-11-23,C102,Neha Kapoor,F,,neha.k@gmail.com,,Delhi,DL,India,P002,Matte Lipstick,Beauty,Makeup,GlamHer,2,699,50.0,Store,Cash,Cancelled,2025-11-23
O6025,1,2025-08-09,C105,Suresh Kumar,M,,suresh.k@gmail.com,,Coimbatore,TN,India,P004,Bluetooth Headphones,Electronics,Audio,SoundMax,2,2499,50.0,Online,Card,Completed,2025-08-09
O6026,1,2025-11-11,C104,Priya Iyer,F,,priya.iyer@gmail.com,,Chennai,TN,India,P004,Bluetooth Headphones,Electronics,Audio,SoundMax,3,2499,0.0,Store,UPI,Completed,2025-11-11
O6027,1,2025-12-31,C103,Rahul Mehta,M,,rahul.mehta@gmail.com,,Ahmedabad,GJ,India,P001,Vitamin C Face Serum,Beauty,Skincare,GlowUp,4,899,0.0,Online,UPI,Completed,2025-12-31
O6028,1,2025-08-27,C103,Rahul Mehta,M,,rahul.mehta@gmail.com,,Ahmedabad,GJ,India,P001,Vitamin C Face Serum,Beauty,Skincare,GlowUp,3,899,100.0,Online,Card,Completed,2025-08-27
O6029,1,2025-09-14,C103,Rahul Mehta,M,,rahul.mehta@gmail.com,,Ahmedabad,GJ,India,P001,Vitamin C Face Serum,Beauty,Skincare,GlowUp,4,899,100.0,Online,Cash,Completed,2025-09-14
O6030,1,2025-09-20,C105,Suresh Kumar,M,,suresh.k@gmail.com,,Coimbatore,TN,India,P005,Baby Lotion,Baby Care,Skincare,BabySoft,3,349,50.0,Store,UPI,Cancelled,2025-09-20
O6031,1,2025-12-20,C103,Rahul Mehta,M,,rahul.mehta@gmail.com,,Ahmedabad,GJ,India,P003,Beard Trimmer,Personal Care,Grooming,TrimX,3,1599,,Store,UPI,Cancelled,2025-12-20
O6032,1,2025-11-27,C102,Neha Kapoor,F,,neha.k@gmail.com,,Delhi,DL,India,P004,Bluetooth Headphones,Electronics,Audio,SoundMax,4,2499,0.0,Online,UPI,Completed,2025-11-27
O6033,1,2025-12-01,C102,Neha Kapoor,F,,neha.k@gmail.com,,Delhi,DL,India,P001,Vitamin C Face Serum,Beauty,Skincare,GlowUp,3,899,100.0,Online,Cash,Completed,2025-12-01
O6034,1,2025-09-09,C106,Kavya Nair,F,,kavya.nair@gmail.com,,Kochi,KL,India,P002,Matte Lipstick,Beauty,Makeup,GlamHer,1,699,50.0,Store,UPI,Completed,2025-09-09
O6035,1,2025-12-07,C103,Rahul Mehta,M,,rahul.mehta@gmail.com,,Ahmedabad,GJ,India,P005,Baby Lotion,Baby Care,Skincare,BabySoft,2,349,50.0,Store,UPI,Cancelled,2025-12-07
O6036,1,2025-08-03,C104,Priya Iyer,F,,priya.iyer@gmail.com,,Chennai,TN,India,P002,Matte Lipstick,Beauty,Makeup,GlamHer,1,699,,Online,Cash,Completed,2025-08-03
O6037,1,2025-11-22,C106,Kavya Nair,F,,kavya.nair@gmail.com,,Kochi,KL,India,P005,Baby Lotion,Baby Care,Skincare,BabySoft,4,349,0.0,Online,Card,Completed,2025-11-22
O6038,1,2025-10-15,C102,Neha Kapoor,F,,neha.k@gmail.com,,Delhi,DL,India,P002,Matte Lipstick,Beauty,Makeup,GlamHer,4,699,,Online,Cash,Cancelled,2025-10-15
O6039,1,2025-10-28,C101,Aarohi Sharma,F,,aarohi.sharma@gmail.com,,Mumbai,MH,India,P005,Baby Lotion,Baby Care,Skincare,BabySoft,2,349,0.0,Online,UPI,Completed,2025-10-28
O6040,1,2025-09-17,C101,Aarohi Sharma,F,,aarohi.sharma@gmail.com,,Mumbai,MH,India,P001,Vitamin C Face Serum,Beauty,Skincare,GlowUp,4,899,,Store,Cash,Completed,2025-09-17
